Airbus A310-300,Airbus A320neo,Antonov AN-225,Aviat Pitts Special S-1S,Aviat Pitts Special S2S,Aermacchi MB-339A,Aermacchi MB-339PAN,Bell Model 407,Boeing 747-8i,Boeing 787-10 Dreamliner,Boeing F/A-18E/F Super Hornet,Bombardier CRJ550,Bombardier CRJ700,Cirrus SR22T,CubCrafters NXCub,CubCrafters X Cub,CubCrafters X Cub - Floats,CubCrafters X Cub - Skis,Curtiss JN-4 Jenny,DG Aviation DG-1001E neo,DG Avaiation LS8-18,Daher TBM 930,Diamand DA40 TDI,Diamond DA40 NG,Diamond DA62,Diamond DV20,Douglas DC3 - classic,Experimental Darkstar,Extra 330LT,Flight Design CTSL,Grumman G-21A Goose,Guimbal Cabri G2,Hughes Aircraft Company Hercules H4,ICON A5,JMB Aircraft VL-3,Misriah Armory,Pilatus PC-6/B2-H4 Turbo Porter,Pilatus PC-6/B2-H4 Turbo Porter G950,Pilatus PC-6/B2-H4 Turbo Porter Floats,Pilatus PC-6/B2-H4 Turbo Porter Skis,Pipistrel Virus SW 121,Robin CAP-10,Robin DR400/100 Cadet,Ryan NYP Spirit of St. Louis,Textron Beechcraft Baron G58,Textron Beechcraft Bonanza G36,Textron Beechcraft King Air 350i,Textron Cessna 152,Textron Cessna 152 Aerobat,Textron Cessna 172 Skyhawk,Textron Cessna 172 Skyhawk - Floats,Textron Cessna 172 Skyhawk 172 - Skis,Textron Cessna 172 Skyhawk (G1000),Textron Cessna 172 Skyhawk (G1000) - Floats,Textron Cessna 172 Skyhawk (G1000) - Skis,Cessna 208 B Grand Caravan EX,Cessna Citation CJ4,Cessna Citation Longitude,Viking Air Limited DHC-2 Beaver,Viking Air Limited DHC-2 Beaver Amphibious Floatplane,Volocopter VoloCity,Wright Flyer,Zlin Aviation Savage Cub,Zlin Aviation Shock Ultra,Zlin Aviation Shock Ultra - Floats,Zlin Aviation Shock Ultra - Skis
,EDTF,LEMD,,,PAYA,RJTT,,EDTF,EDTF,KLAX,,EDDF,KSEA,,EDTF,,,,,,VNKT,,,EKCH,,,KNID,,,,,,,,,,,,,LIPZ,,EDTF,,PAFA,EDTF,EDTF,EDTF,,EGLL,,,EKCH,LSGG,,HECA,,EDTF,,,,,,,,
,LSZH,LXGB,,,CYXY,34.796564;138.186799,,LFPG,EBBR,KNID,,EKCH,KRNT,,EDTG,,,,,,VNLK,,,EDDT,,,KJFK,,,,,,,,,,,,,LIPV,,EDTL,,48AK,LFST,LSGG,47.950738;7.956372,,EGWU,,,EKRK,LFHM,,29.220176;31.016513,,ELLX,,,,,,,,
,LOWI,GMTT,,,,RJOO,,EGLL,,,,EKRN,KBFI,,47.824236;7.639512,,,,,,VNTR,,,LKPR,,,,,,,,,,,,,,,,LIDC,,EDTO,,39AK,,LFML,,,EGLC,,,EKOD,,,26.340706;31.739465,,EGHI,,,,,,,,
,LIPZ,,,,,RJFU,,,,,,ESGG,KPAE,,LFSB,,,,,,VNTJ,,,LOWW,,,,,,,,,,,,,,,,,,EDSK,,PANC,,LFMA,,,51.477799;-1.557908,,,EKSB,,,HELX,,EGGD,,,,,,,,
,LDZD,,,,,,,,,,,ENGM,,,LSPD,,,,,,VQPR,,,,,,,,,,,,,,,,,,,,,EDSB,,,,LFMQ,,,EGBG,,,EDXF,,,,,,,,,,,,,
,LGTS,,,,,,,,,,,,,,LSZG,,,,,,VQGP,,,,,,,,,,,,,,,,,,,,,EDTB,,,,LFMT,,,EGXT,,,EDXW,,,,,,,,,,,,,
,LGAV,,,,,,,,,,,,,,LSZP,,,,,,VQ10,,,,,,,,,,,,,,,,,,,,,EDRI,,,,LEBL,,,EGSH,,,EDXY,,,,,,,,,,,,,
,LTAI,,,,,,,,,,,,,,LSZB,,,,,,VEZO,,,,,,,,,,,,,,,,,,,,,EDRY,,,,LEMD,,,EGNJ,,,EDXO,,,,,,,,,,,,,
,LTAF,,,,,,,,,,,,,,LSZW,,,,,,VEDZ,,,,,,,,,,,,,,,,,,,,,EDFX,,,,,,,EGNM,,,,,,,,,,,,,,,,
